date,CA,TX,WI,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,total
2011-01-28,14195,9438,8998,4337,3494,4739,1625,2556,3852,3030,2704,2256,4038,32631
2011-01-29,13805,9630,8314,4155,3046,4827,1777,2687,3937,3006,2194,1922,4198,31749
2011-01-30,10108,6778,6897,2816,2121,3785,1386,1822,2731,2225,1562,2018,3317,23783
2011-01-31,11047,7381,6984,3051,2324,4232,1440,2258,2954,2169,1251,2522,3211,25412
2011-02-01,9925,5912,3309,2630,1942,3817,1536,1694,2492,1726,2,1175,2132,19146
2011-02-02,11322,9006,8883,3276,2288,4369,1389,2734,3439,2833,2049,2244,4590,29211
2011-02-03,12251,6226,9533,3450,2629,4703,1469,1691,2588,1947,2815,2232,4486,28010
2011-02-04,16610,9440,11882,5437,3729,5456,1988,2820,3772,2848,3248,2643,5991,37932
2011-02-05,14696,9376,8664,4340,2957,5581,1818,2887,3657,2832,1674,2140,4850,32736
2011-02-06,11822,7319,6431,3157,2218,4912,1535,2174,2932,2213,1355,1836,3240,25572
2011-02-07,10933,6224,5914,2995,2123,4447,1368,1607,2628,1989,1335,1526,3053,23071
2011-02-08,10350,6740,6568,2710,1901,4544,1195,2149,2669,1922,1410,1846,3312,23658
2011-02-09,11204,6109,6443,2928,2436,4406,1434,1895,2515,1699,1349,1785,3309,23756
2011-02-10,11354,7202,7889,3078,2584,4380,1312,2256,2883,2063,1946,2015,3928,26445
2011-02-11,14610,10081,10142,4316,3455,5187,1652,2944,4000,3137,2634,2442,5066,34833
2011-02-12,15630,11725,9025,4354,3563,5780,1933,3432,4779,3514,2012,2336,4677,36380
2011-02-13,9044,6719,6041,2757,1801,3303,1183,1921,2679,2119,1522,1612,2907,21804
2011-02-14,9496,7460,7114,2430,1797,3758,1511,2217,2927,2316,1363,1980,3771,24070
2011-02-15,8844,6606,5993,2272,1741,3641,1190,1962,2606,2038,1300,1628,3065,21443
2011-02-16,7835,6412,6071,2009,1614,3099,1113,1821,2449,2142,1459,1678,2934,20318
2011-02-17,10025,6711,6985,3015,2214,3320,1476,1951,2615,2145,1872,1813,3300,23721
2011-02-18,13870,9150,8669,4553,3080,4694,1543,2571,3705,2874,2596,2014,4059,31689
2011-02-19,13465,9789,6029,3966,3087,4794,1618,2810,3845,3134,1415,1592,3022,29283
2011-02-20,11997,7297,4672,3264,2601,4631,1501,2071,3006,2220,939,1356,2377,23966
2011-02-21,9130,6628,4743,2441,1810,3593,1286,1933,2725,1970,1089,1330,2324,20501
2011-02-22,8941,5814,6002,2377,1851,3342,1371,1723,2268,1823,1413,1719,2870,20757
2011-02-23,8514,6175,5588,2414,1652,3310,1138,1825,2488,1862,1449,1571,2568,20277
2011-02-24,9847,6286,6396,2701,2187,3575,1384,1886,2506,1894,1830,1532,3034,22529
2011-02-25,13652,8586,7670,3719,3516,4774,1643,2629,3565,2392,2154,1961,3555,29908
2011-02-26,12491,9086,7130,3548,2692,4540,1711,2688,3660,2738,1784,1643,3703,28707
